Jurisdiction,Value,Race/ ethnicity,Year,Measure
Caroline,23.5,All races/ ethnicities (aggregated),2015,Adults who smoke
Caroline,26.7,White Non-Hispanic,2015,Adults who smoke
Caroline,21.9,All races/ ethnicities (aggregated),2014,Adults who smoke
Caroline,23.6,White Non-Hispanic,2014,Adults who smoke
Caroline,22.5,All races/ ethnicities (aggregated),2013,Adults who smoke
Caroline,22.4,White Non-Hispanic,2013,Adults who smoke
Caroline,26.2,All races/ ethnicities (aggregated),2012,Adults who smoke
Caroline,29.5,White Non-Hispanic,2012,Adults who smoke
Caroline,28.5,All races/ ethnicities (aggregated),2011,Adults who smoke
Caroline,26.9,White Non-Hispanic,2011,Adults who smoke
Carroll,15.2,All races/ ethnicities (aggregated),2017,Adults who smoke
Carroll,13.1,White Non-Hispanic,2017,Adults who smoke
Carroll,15,All races/ ethnicities (aggregated),2016,Adults who smoke
Carroll,14.4,White Non-Hispanic,2016,Adults who smoke
Carroll,11.6,All races/ ethnicities (aggregated),2015,Adults who smoke
Carroll,12.2,White Non-Hispanic,2015,Adults who smoke
Carroll,17.3,All races/ ethnicities (aggregated),2014,Adults who smoke
Carroll,19.1,White Non-Hispanic,2014,Adults who smoke
Carroll,19.4,All races/ ethnicities (aggregated),2013,Adults who smoke
Carroll,20.2,White Non-Hispanic,2013,Adults who smoke
Carroll,17.9,All races/ ethnicities (aggregated),2012,Adults who smoke
Carroll,17.5,White Non-Hispanic,2012,Adults who smoke
Carroll,21.5,All races/ ethnicities (aggregated),2011,Adults who smoke
Carroll,17.6,White Non-Hispanic,2011,Adults who smoke
Cecil,24.5,All races/ ethnicities (aggregated),2017,Adults who smoke
Cecil,24.2,White Non-Hispanic,2017,Adults who smoke
Cecil,25.3,All races/ ethnicities (aggregated),2016,Adults who smoke
Cecil,24.4,White Non-Hispanic,2016,Adults who smoke
Cecil,17.5,All races/ ethnicities (aggregated),2015,Adults who smoke
Cecil,18.2,White Non-Hispanic,2015,Adults who smoke
Cecil,12.4,All races/ ethnicities (aggregated),2014,Adults who smoke
Cecil,12.1,White Non-Hispanic,2014,Adults who smoke
Cecil,18,All races/ ethnicities (aggregated),2013,Adults who smoke
Cecil,19.9,White Non-Hispanic,2013,Adults who smoke
Cecil,23,All races/ ethnicities (aggregated),2012,Adults who smoke
Cecil,23.9,White Non-Hispanic,2012,Adults who smoke
Cecil,23.9,All races/ ethnicities (aggregated),2011,Adults who smoke
Cecil,22.1,White Non-Hispanic,2011,Adults who smoke
Charles,14.5,All races/ ethnicities (aggregated),2017,Adults who smoke
Charles,16.1,White Non-Hispanic,2017,Adults who smoke
Charles,13.1,All races/ ethnicities (aggregated),2016,Adults who smoke
Charles,9.9,Black Non-Hispanic,2016,Adults who smoke
Charles,16.6,White Non-Hispanic,2016,Adults who smoke
Charles,18.4,All races/ ethnicities (aggregated),2015,Adults who smoke
Charles,18.5,White Non-Hispanic,2015,Adults who smoke
Charles,12.2,All races/ ethnicities (aggregated),2014,Adults who smoke
Charles,9.4,Black Non-Hispanic,2014,Adults who smoke
Charles,14.1,White Non-Hispanic,2014,Adults who smoke
Charles,13.2,All races/ ethnicities (aggregated),2013,Adults who smoke
Charles,10,Black Non-Hispanic,2013,Adults who smoke
Charles,16.1,White Non-Hispanic,2013,Adults who smoke
Charles,19.3,All races/ ethnicities (aggregated),2012,Adults who smoke
Charles,18.6,Black Non-Hispanic,2012,Adults who smoke
Charles,22.7,White Non-Hispanic,2012,Adults who smoke
Charles,15.3,All races/ ethnicities (aggregated),2011,Adults who smoke
Charles,10.6,Black Non-Hispanic,2011,Adults who smoke
Charles,19.1,White Non-Hispanic,2011,Adults who smoke
Dorchester,28.2,All races/ ethnicities (aggregated),2017,Adults who smoke
Dorchester,23,Black Non-Hispanic,2017,Adults who smoke
Dorchester,31.6,White Non-Hispanic,2017,Adults who smoke
Dorchester,25.7,All races/ ethnicities (aggregated),2016,Adults who smoke
Dorchester,27.1,Black Non-Hispanic,2016,Adults who smoke
Dorchester,25.4,White Non-Hispanic,2016,Adults who smoke
Dorchester,19.8,All races/ ethnicities (aggregated),2015,Adults who smoke
Dorchester,17.3,White Non-Hispanic,2015,Adults who smoke
Dorchester,16.2,All races/ ethnicities (aggregated),2014,Adults who smoke
Dorchester,19.1,White Non-Hispanic,2014,Adults who smoke
Dorchester,18.4,All races/ ethnicities (aggregated),2013,Adults who smoke
Dorchester,22,Black Non-Hispanic,2013,Adults who smoke
Dorchester,17.8,White Non-Hispanic,2013,Adults who smoke
Dorchester,16.3,All races/ ethnicities (aggregated),2012,Adults who smoke
Dorchester,15.3,Black Non-Hispanic,2012,Adults who smoke
Dorchester,23.1,White Non-Hispanic,2012,Adults who smoke
Dorchester,18.7,All races/ ethnicities (aggregated),2011,Adults who smoke
Dorchester,24.8,White Non-Hispanic,2011,Adults who smoke
Frederick,14.3,All races/ ethnicities (aggregated),2017,Adults who smoke
Frederick,12.4,White Non-Hispanic,2017,Adults who smoke
Frederick,17.4,All races/ ethnicities (aggregated),2016,Adults who smoke
Frederick,16.4,White Non-Hispanic,2016,Adults who smoke
Frederick,21.6,All races/ ethnicities (aggregated),2015,Adults who smoke
Frederick,22.1,White Non-Hispanic,2015,Adults who smoke
Frederick,11,All races/ ethnicities (aggregated),2014,Adults who smoke
Frederick,13.6,White Non-Hispanic,2014,Adults who smoke
Frederick,19.8,All races/ ethnicities (aggregated),2013,Adults who smoke
Frederick,21.3,White Non-Hispanic,2013,Adults who smoke
Frederick,16.5,All races/ ethnicities (aggregated),2012,Adults who smoke
Frederick,14,White Non-Hispanic,2012,Adults who smoke
Frederick,17.2,All races/ ethnicities (aggregated),2011,Adults who smoke
Frederick,18.4,White Non-Hispanic,2011,Adults who smoke
Garrett,17.9,All races/ ethnicities (aggregated),2017,Adults who smoke
Garrett,17.8,White Non-Hispanic,2017,Adults who smoke
Garrett,18,All races/ ethnicities (aggregated),2016,Adults who smoke
Garrett,16.9,White Non-Hispanic,2016,Adults who smoke
Garrett,29.4,All races/ ethnicities (aggregated),2015,Adults who smoke
Garrett,22.5,White Non-Hispanic,2015,Adults who smoke
Garrett,15.1,All races/ ethnicities (aggregated),2014,Adults who smoke
Garrett,15.5,White Non-Hispanic,2014,Adults who smoke
Garrett,19.9,All races/ ethnicities (aggregated),2013,Adults who smoke
Garrett,21.5,White Non-Hispanic,2013,Adults who smoke
Garrett,20.8,All races/ ethnicities (aggregated),2012,Adults who smoke
Garrett,20.9,White Non-Hispanic,2012,Adults who smoke
Garrett,25.3,All races/ ethnicities (aggregated),2011,Adults who smoke
Garrett,21.8,White Non-Hispanic,2011,Adults who smoke
Harford,15.4,All races/ ethnicities (aggregated),2017,Adults who smoke
Harford,17.5,White Non-Hispanic,2017,Adults who smoke
Harford,16.7,All races/ ethnicities (aggregated),2016,Adults who smoke
Harford,16,White Non-Hispanic,2016,Adults who smoke
Harford,20.7,All races/ ethnicities (aggregated),2015,Adults who smoke
Harford,22.9,White Non-Hispanic,2015,Adults who smoke
Harford,18.9,All races/ ethnicities (aggregated),2014,Adults who smoke
Harford,23,White Non-Hispanic,2014,Adults who smoke
Harford,16.9,All races/ ethnicities (aggregated),2013,Adults who smoke
Harford,4.7,Black Non-Hispanic,2013,Adults who smoke
Harford,20.7,White Non-Hispanic,2013,Adults who smoke
Harford,21.7,All races/ ethnicities (aggregated),2012,Adults who smoke
Harford,27.5,Black Non-Hispanic,2012,Adults who smoke
Harford,22.4,White Non-Hispanic,2012,Adults who smoke
Harford,18.6,All races/ ethnicities (aggregated),2011,Adults who smoke
Harford,17,White Non-Hispanic,2011,Adults who smoke
Howard,7.6,All races/ ethnicities (aggregated),2016,Adults who smoke
Howard,8.2,White Non-Hispanic,2016,Adults who smoke
Howard,5.6,All races/ ethnicities (aggregated),2015,Adults who smoke
Howard,6,All races/ ethnicities (aggregated),2014,Adults who smoke
Howard,3.4,Black Non-Hispanic,2014,Adults who smoke
Howard,6.9,White Non-Hispanic,2014,Adults who smoke
Howard,14.6,All races/ ethnicities (aggregated),2013,Adults who smoke
Howard,9.9,Black Non-Hispanic,2013,Adults who smoke
Howard,16.2,White Non-Hispanic,2013,Adults who smoke
Howard,9.5,All races/ ethnicities (aggregated),2012,Adults who smoke
Howard,10.9,Black Non-Hispanic,2012,Adults who smoke
Howard,8.4,White Non-Hispanic,2012,Adults who smoke
Howard,12,All races/ ethnicities (aggregated),2011,Adults who smoke
Howard,16.3,White Non-Hispanic,2011,Adults who smoke
Kent,10.7,All races/ ethnicities (aggregated),2017,Adults who smoke
Kent,10.7,White Non-Hispanic,2017,Adults who smoke
Kent,18,All races/ ethnicities (aggregated),2016,Adults who smoke
Kent,17.9,White Non-Hispanic,2016,Adults who smoke
Kent,15.1,All races/ ethnicities (aggregated),2014,Adults who smoke
Kent,18.8,White Non-Hispanic,2014,Adults who smoke
Kent,19.6,All races/ ethnicities (aggregated),2013,Adults who smoke
Kent,21.2,White Non-Hispanic,2013,Adults who smoke
Kent,19.2,All races/ ethnicities (aggregated),2012,Adults who smoke
Kent,19.6,White Non-Hispanic,2012,Adults who smoke
Kent,30.6,All races/ ethnicities (aggregated),2011,Adults who smoke
Kent,30.5,White Non-Hispanic,2011,Adults who smoke
Montgomery,7.3,All races/ ethnicities (aggregated),2017,Adults who smoke
Montgomery,13.8,Black Non-Hispanic,2017,Adults who smoke
Montgomery,5.6,White Non-Hispanic,2017,Adults who smoke
Montgomery,6.2,All races/ ethnicities (aggregated),2016,Adults who smoke
Montgomery,7.1,Black Non-Hispanic,2016,Adults who smoke
Montgomery,9.3,Hispanic,2016,Adults who smoke
Montgomery,5.2,White Non-Hispanic,2016,Adults who smoke
Montgomery,10.5,All races/ ethnicities (aggregated),2015,Adults who smoke
Montgomery,10.5,White Non-Hispanic,2015,Adults who smoke
Montgomery,7.9,All races/ ethnicities (aggregated),2014,Adults who smoke
Montgomery,13.6,Black Non-Hispanic,2014,Adults who smoke
Montgomery,5.2,Hispanic,2014,Adults who smoke
Montgomery,6.2,White Non-Hispanic,2014,Adults who smoke
Montgomery,11.8,Asian Non-Hispanic,2014,Adults who smoke
Montgomery,8.2,All races/ ethnicities (aggregated),2013,Adults who smoke
Montgomery,11.7,Black Non-Hispanic,2013,Adults who smoke
Montgomery,5.2,Hispanic,2013,Adults who smoke
Montgomery,6.9,White Non-Hispanic,2013,Adults who smoke
Montgomery,7.5,Asian Non-Hispanic,2013,Adults who smoke
Montgomery,7.5,All races/ ethnicities (aggregated),2012,Adults who smoke
Montgomery,7.6,Black Non-Hispanic,2012,Adults who smoke
Montgomery,3.1,Hispanic,2012,Adults who smoke
Montgomery,9.1,White Non-Hispanic,2012,Adults who smoke
Montgomery,5.9,Asian Non-Hispanic,2012,Adults who smoke
Montgomery,11.3,All races/ ethnicities (aggregated),2011,Adults who smoke
Montgomery,15.6,Black Non-Hispanic,2011,Adults who smoke
Montgomery,19.3,Hispanic,2011,Adults who smoke
Montgomery,9,White Non-Hispanic,2011,Adults who smoke
Montgomery,4.6,Asian Non-Hispanic,2011,Adults who smoke
Prince George's,10.3,All races/ ethnicities (aggregated),2017,Adults who smoke
Prince George's,8.8,Black Non-Hispanic,2017,Adults who smoke
Prince George's,12.7,White Non-Hispanic,2017,Adults who smoke
Prince George's,11.3,All races/ ethnicities (aggregated),2016,Adults who smoke
Prince George's,12.1,Black Non-Hispanic,2016,Adults who smoke
Prince George's,11.9,White Non-Hispanic,2016,Adults who smoke
Prince George's,10.1,All races/ ethnicities (aggregated),2015,Adults who smoke
Prince George's,9.3,Black Non-Hispanic,2015,Adults who smoke
Prince George's,11.8,All races/ ethnicities (aggregated),2014,Adults who smoke
Prince George's,11.9,Black Non-Hispanic,2014,Adults who smoke
Prince George's,8.3,Hispanic,2014,Adults who smoke
Prince George's,15.4,White Non-Hispanic,2014,Adults who smoke
Prince George's,14.4,All races/ ethnicities (aggregated),2013,Adults who smoke
Prince George's,15.3,Black Non-Hispanic,2013,Adults who smoke
Prince George's,11.6,Hispanic,2013,Adults who smoke
Prince George's,15.1,White Non-Hispanic,2013,Adults who smoke
Prince George's,14.2,All races/ ethnicities (aggregated),2012,Adults who smoke
Prince George's,13.9,Black Non-Hispanic,2012,Adults who smoke
Prince George's,16.2,Hispanic,2012,Adults who smoke
Prince George's,15.5,White Non-Hispanic,2012,Adults who smoke
Prince George's,17,All races/ ethnicities (aggregated),2011,Adults who smoke
Prince George's,15,Black Non-Hispanic,2011,Adults who smoke
Prince George's,24.9,White Non-Hispanic,2011,Adults who smoke
Queen Anne's,15.4,All races/ ethnicities (aggregated),2017,Adults who smoke
Queen Anne's,14.7,White Non-Hispanic,2017,Adults who smoke
Queen Anne's,16.5,All races/ ethnicities (aggregated),2016,Adults who smoke
Queen Anne's,15.1,White Non-Hispanic,2016,Adults who smoke
Queen Anne's,17.2,All races/ ethnicities (aggregated),2015,Adults who smoke
Queen Anne's,18.2,White Non-Hispanic,2015,Adults who smoke
Queen Anne's,13.6,All races/ ethnicities (aggregated),2014,Adults who smoke
Queen Anne's,11.4,White Non-Hispanic,2014,Adults who smoke
Queen Anne's,19.8,All races/ ethnicities (aggregated),2013,Adults who smoke
Queen Anne's,20,White Non-Hispanic,2013,Adults who smoke
Queen Anne's,17.2,All races/ ethnicities (aggregated),2012,Adults who smoke
Queen Anne's,17,White Non-Hispanic,2012,Adults who smoke
Queen Anne's,23.2,All races/ ethnicities (aggregated),2011,Adults who smoke
Queen Anne's,23.3,White Non-Hispanic,2011,Adults who smoke
Saint Mary's,18.9,All races/ ethnicities (aggregated),2017,Adults who smoke
Saint Mary's,21.4,White Non-Hispanic,2017,Adults who smoke
Saint Mary's,15.4,All races/ ethnicities (aggregated),2016,Adults who smoke
Saint Mary's,17.5,White Non-Hispanic,2016,Adults who smoke
Saint Mary's,14.5,All races/ ethnicities (aggregated),2015,Adults who smoke
Saint Mary's,15.5,White Non-Hispanic,2015,Adults who smoke
Saint Mary's,14.8,All races/ ethnicities (aggregated),2014,Adults who smoke
Saint Mary's,15.2,White Non-Hispanic,2014,Adults who smoke
Saint Mary's,25.9,All races/ ethnicities (aggregated),2013,Adults who smoke
Saint Mary's,24.1,White Non-Hispanic,2013,Adults who smoke
Saint Mary's,20.3,All races/ ethnicities (aggregated),2012,Adults who smoke
Saint Mary's,23.5,White Non-Hispanic,2012,Adults who smoke
Saint Mary's,16.6,All races/ ethnicities (aggregated),2011,Adults who smoke
Saint Mary's,17.3,White Non-Hispanic,2011,Adults who smoke
Somerset,30.3,All races/ ethnicities (aggregated),2017,Adults who smoke
Somerset,32.8,White Non-Hispanic,2017,Adults who smoke
Somerset,22.9,All races/ ethnicities (aggregated),2016,Adults who smoke
Somerset,25,All races/ ethnicities (aggregated),2015,Adults who smoke
Somerset,19.8,All races/ ethnicities (aggregated),2014,Adults who smoke
Somerset,21.3,White Non-Hispanic,2014,Adults who smoke
Somerset,13,All races/ ethnicities (aggregated),2013,Adults who smoke
Somerset,13.4,White Non-Hispanic,2013,Adults who smoke
Somerset,34.8,All races/ ethnicities (aggregated),2012,Adults who smoke
Somerset,41.4,White Non-Hispanic,2012,Adults who smoke
Somerset,22.9,All races/ ethnicities (aggregated),2011,Adults who smoke
Somerset,35,White Non-Hispanic,2011,Adults who smoke
State,13.8,All races/ ethnicities (aggregated),2017,Adults who smoke
State,13.7,All races/ ethnicities (aggregated),2016,Adults who smoke
State,13.7,Black Non-Hispanic,2016,Adults who smoke
State,10.2,Hispanic,2016,Adults who smoke
State,14.8,White Non-Hispanic,2016,Adults who smoke
State,5.1,Asian Non-Hispanic,2016,Adults who smoke
State,15.1,All races/ ethnicities (aggregated),2015,Adults who smoke
State,15.3,Black Non-Hispanic,2015,Adults who smoke
State,10.2,Hispanic,2015,Adults who smoke
State,16.9,White Non-Hispanic,2015,Adults who smoke
State,14.6,All races/ ethnicities (aggregated),2014,Adults who smoke
State,16.8,Black Non-Hispanic,2014,Adults who smoke
State,8.2,Hispanic,2014,Adults who smoke
State,15.5,White Non-Hispanic,2014,Adults who smoke
State,6.7,Asian Non-Hispanic,2014,Adults who smoke
State,16.4,All races/ ethnicities (aggregated),2013,Adults who smoke
State,17.4,Black Non-Hispanic,2013,Adults who smoke
State,11,Hispanic,2013,Adults who smoke
State,16.8,White Non-Hispanic,2013,Adults who smoke
State,9.5,Asian Non-Hispanic,2013,Adults who smoke
State,16.2,All races/ ethnicities (aggregated),2012,Adults who smoke
State,16.7,Black Non-Hispanic,2012,Adults who smoke
State,10.1,Hispanic,2012,Adults who smoke
State,17.6,White Non-Hispanic,2012,Adults who smoke
State,6.7,Asian Non-Hispanic,2012,Adults who smoke
State,19.1,All races/ ethnicities (aggregated),2011,Adults who smoke
State,18.9,Black Non-Hispanic,2011,Adults who smoke
State,19.9,Hispanic,2011,Adults who smoke
State,19.6,White Non-Hispanic,2011,Adults who smoke
State,8.1,Asian Non-Hispanic,2011,Adults who smoke
Talbot,15.4,All races/ ethnicities (aggregated),2017,Adults who smoke
Talbot,15.8,White Non-Hispanic,2017,Adults who smoke
Talbot,13.6,All races/ ethnicities (aggregated),2016,Adults who smoke
Talbot,14.1,White Non-Hispanic,2016,Adults who smoke
Talbot,17.1,All races/ ethnicities (aggregated),2014,Adults who smoke
Talbot,15.3,White Non-Hispanic,2014,Adults who smoke
Talbot,17.5,All races/ ethnicities (aggregated),2013,Adults who smoke
Talbot,10.2,White Non-Hispanic,2013,Adults who smoke
Talbot,15,All races/ ethnicities (aggregated),2012,Adults who smoke
Talbot,18.1,White Non-Hispanic,2012,Adults who smoke
Talbot,23.2,All races/ ethnicities (aggregated),2011,Adults who smoke
Talbot,26.7,White Non-Hispanic,2011,Adults who smoke
Washington,17.3,All races/ ethnicities (aggregated),2017,Adults who smoke
Washington,18.7,White Non-Hispanic,2017,Adults who smoke
Washington,18.3,All races/ ethnicities (aggregated),2016,Adults who smoke
Washington,17.7,White Non-Hispanic,2016,Adults who smoke
Washington,22,All races/ ethnicities (aggregated),2015,Adults who smoke
Washington,24.5,White Non-Hispanic,2015,Adults who smoke
Washington,21.5,All races/ ethnicities (aggregated),2014,Adults who smoke
Washington,20.8,White Non-Hispanic,2014,Adults who smoke
Washington,20,All races/ ethnicities (aggregated),2013,Adults who smoke
Washington,19.9,White Non-Hispanic,2013,Adults who smoke
Washington,18,All races/ ethnicities (aggregated),2012,Adults who smoke
Washington,15.9,White Non-Hispanic,2012,Adults who smoke
Washington,24.9,All races/ ethnicities (aggregated),2011,Adults who smoke
Washington,25.7,White Non-Hispanic,2011,Adults who smoke
Wicomico,15.5,All races/ ethnicities (aggregated),2017,Adults who smoke
Wicomico,14.2,White Non-Hispanic,2017,Adults who smoke
Wicomico,17.1,All races/ ethnicities (aggregated),2016,Adults who smoke
Wicomico,22.7,Black Non-Hispanic,2016,Adults who smoke
Wicomico,15.7,White Non-Hispanic,2016,Adults who smoke
Wicomico,23,All races/ ethnicities (aggregated),2015,Adults who smoke
Wicomico,31.4,White Non-Hispanic,2015,Adults who smoke
Wicomico,22.7,All races/ ethnicities (aggregated),2014,Adults who smoke
Wicomico,32.1,Black Non-Hispanic,2014,Adults who smoke
Wicomico,18,White Non-Hispanic,2014,Adults who smoke
Wicomico,14.1,All races/ ethnicities (aggregated),2013,Adults who smoke
Wicomico,14.6,Black Non-Hispanic,2013,Adults who smoke
Wicomico,15.8,White Non-Hispanic,2013,Adults who smoke
Wicomico,20.3,All races/ ethnicities (aggregated),2012,Adults who smoke
Wicomico,26.9,Black Non-Hispanic,2012,Adults who smoke
Wicomico,19,White Non-Hispanic,2012,Adults who smoke
Wicomico,21.3,All races/ ethnicities (aggregated),2011,Adults who smoke
Wicomico,41.9,Black Non-Hispanic,2011,Adults who smoke
Wicomico,14.3,White Non-Hispanic,2011,Adults who smoke
Worcester,17.4,All races/ ethnicities (aggregated),2017,Adults who smoke
Worcester,13.1,White Non-Hispanic,2017,Adults who smoke
Worcester,20.9,All races/ ethnicities (aggregated),2016,Adults who smoke
Worcester,20.5,White Non-Hispanic,2016,Adults who smoke
Worcester,19.6,All races/ ethnicities (aggregated),2014,Adults who smoke
Worcester,16.7,White Non-Hispanic,2014,Adults who smoke
Worcester,18.1,All races/ ethnicities (aggregated),2013,Adults who smoke
Worcester,21,White Non-Hispanic,2013,Adults who smoke
Worcester,7.7,All races/ ethnicities (aggregated),2012,Adults who smoke
Worcester,4.7,White Non-Hispanic,2012,Adults who smoke
Worcester,24.3,All races/ ethnicities (aggregated),2011,Adults who smoke
Worcester,23.6,White Non-Hispanic,2011,Adults who smoke
